id,Start,End,observer,time_in_mins
139,1899-12-31 18:25:00,1899-12-31 18:55:00,Evan,30
140,1899-12-31 17:38:00,1899-12-31 18:20:00,Evan,42
141,1899-12-31 17:40:00,1899-12-31 17:53:00,Evan,13
142,1899-12-31 18:02:00,1899-12-31 18:25:00,Evan,23
143,1899-12-31 17:42:00,1899-12-31 17:53:00,Evan,11
144,1899-12-31 18:02:00,1899-12-31 18:25:00,Evan,23
145,1899-12-31 17:42:00,1899-12-31 17:54:00,Evan,12
146,1899-12-31 17:56:00,1899-12-31 18:18:00,Evan,22
147,1899-12-31 17:46:00,1899-12-31 17:57:00,Evan,11
148,1899-12-31 18:25:00,1899-12-31 18:55:00,Evan,30
149,1899-12-31 17:46:00,1899-12-31 17:57:00,Evan,11
150,1899-12-31 18:05:00,1899-12-31 18:41:00,Evan,36
151,1899-12-31 17:46:00,1899-12-31 18:04:00,Evan,18
152,1899-12-31 18:06:00,1899-12-31 18:41:00,Evan,35
153,1899-12-31 17:46:00,1899-12-31 18:20:00,Evan,34
154,1899-12-31 17:52:00,1899-12-31 18:02:00,Evan,10
155,1899-12-31 18:02:00,1899-12-31 18:25:00,Evan,23
156,1899-12-31 17:49:00,1899-12-31 18:09:00,Eric,20
157,1899-12-31 18:11:00,1899-12-31 18:32:00,Eric,21
158,1899-12-31 18:36:00,1899-12-31 19:01:00,Eric,25
159,1899-12-31 17:50:00,1899-12-31 18:03:00,Eric,13
160,1899-12-31 18:04:00,1899-12-31 18:26:00,Eric,22
161,1899-12-31 18:26:00,1899-12-31 18:54:00,Eric,28
162,1899-12-31 17:50:00,1899-12-31 18:16:00,Eric,26
163,1899-12-31 18:16:00,1899-12-31 18:40:00,Eric,24
164,1899-12-31 17:50:00,1899-12-31 18:05:00,Eric,15
165,1899-12-31 18:08:00,1899-12-31 18:36:00,Eric,28
166,1899-12-31 18:36:00,1899-12-31 18:55:00,Eric,19
167,1899-12-31 17:53:00,1899-12-31 18:31:00,Eric,38
168,1899-12-31 18:32:00,1899-12-31 18:41:00,Eric,9
169,1899-12-31 18:41:00,1899-12-31 19:03:00,Eric,22
170,1899-12-31 17:55:00,1899-12-31 18:22:00,Eric,27
171,1899-12-31 18:22:00,1899-12-31 18:50:00,Eric,28
172,1899-12-31 17:35:00,1899-12-31 17:45:00,Prajwal,10
173,1899-12-31 17:53:00,1899-12-31 18:18:00,Prajwal,25
174,1899-12-31 17:55:00,1899-12-31 18:06:00,Prajwal,11
175,1899-12-31 18:21:00,1899-12-31 18:43:00,Prajwal,22
176,1899-12-31 18:27:00,1899-12-31 19:09:00,Prajwal,42
177,1899-12-31 18:55:00,1899-12-31 19:17:00,Prajwal,22
178,1899-12-31 18:56:00,1899-12-31 19:18:00,Prajwal,22
179,1899-12-31 17:36:00,1899-12-31 17:46:00,Prajwal,10
180,1899-12-31 17:53:00,1899-12-31 18:18:00,Prajwal,25
181,1899-12-31 17:57:00,1899-12-31 18:06:00,Prajwal,9
182,1899-12-31 18:21:00,1899-12-31 18:43:00,Prajwal,22
183,1899-12-31 18:27:00,1899-12-31 19:09:00,Prajwal,42
184,1899-12-31 18:55:00,1899-12-31 19:17:00,Prajwal,22
185,1899-12-31 17:36:00,1899-12-31 18:06:00,Prajwal,30
186,1899-12-31 17:53:00,1899-12-31 18:17:00,Prajwal,24
187,1899-12-31 17:57:00,1899-12-31 18:06:00,Prajwal,9
188,1899-12-31 18:27:00,1899-12-31 19:09:00,Prajwal,42
189,1899-12-31 17:36:00,1899-12-31 18:06:00,Prajwal,30
190,1899-12-31 18:18:00,1899-12-31 18:38:00,Prajwal,20
191,1899-12-31 17:37:00,1899-12-31 18:17:00,Prajwal,40
192,1899-12-31 18:18:00,1899-12-31 18:38:00,Prajwal,20
193,1899-12-31 17:37:00,1899-12-31 18:17:00,Prajwal,40
194,1899-12-31 17:34:00,1899-12-31 17:52:00,Sam,18
195,1899-12-31 17:56:00,1899-12-31 18:53:00,Sam,57
196,1899-12-31 18:30:00,1899-12-31 18:43:00,Sam,13
197,1899-12-31 17:34:00,1899-12-31 17:52:00,Sam,18
198,1899-12-31 18:14:00,1899-12-31 18:53:00,Sam,39
199,1899-12-31 18:05:00,1899-12-31 18:53:00,Sam,48
200,1899-12-31 17:34:00,1899-12-31 17:52:00,Sam,18
201,1899-12-31 17:58:00,1899-12-31 18:44:00,Sam,46
202,1899-12-31 18:19:00,1899-12-31 19:00:00,Sam,41
203,1899-12-31 17:51:00,1899-12-31 18:24:00,Sam,33
204,1899-12-31 17:42:00,1899-12-31 18:24:00,Sam,42
205,1899-12-31 18:19:00,1899-12-31 19:00:00,Sam,41
206,1899-12-31 18:32:00,1899-12-31 19:00:00,Sam,28
